Rank,CCA3,Country/Territory,Capital,Continent,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Population
142,GMB,Gambia,Banjul,Africa,10689,253.1567,1.025,0.03,1990,1040616
149,GNB,Guinea-Bissau,Bissau,Africa,36125,58.2856,1.0218,0.03,1990,973551
147,LSO,Lesotho,Maseru,Africa,30355,75.962,1.0107,0.03,1990,1798997
82,HTI,Haiti,Port-au-Prince,North America,27750,417.4773,1.012,0.15,1990,6925331
121,LBR,Liberia,Monrovia,Africa,111369,47.6136,1.021,0.07,1990,2209731
112,SLV,El Salvador,San Salvador,North America,21041,301.145,1.0035,0.08,1990,5367179
119,LBN,Lebanon,Beirut,Asia,10452,525.2334,0.9816,0.07,1990,3593700
151,LVA,Latvia,Riga,Europe,64559,28.666,0.9876,0.02,1990,2689391
103,LAO,Laos,Vientiane,Asia,236800,31.7968,1.0141,0.09,1990,4314443
110,KGZ,Kyrgyzstan,Bishkek,Asia,199951,33.1612,1.0158,0.08,1990,4394734
129,KWT,Kuwait,Kuwait City,Asia,17818,239.5821,1.0044,0.05,1990,1674938
192,KIR,Kiribati,Tarawa,Oceania,811,161.815,1.0183,0.0,1990,75124
27,KEN,Kenya,Nairobi,Africa,580367,93.0919,1.0193,0.68,1990,23162269
66,KAZ,Kazakhstan,Nursultan,Asia,2724900,7.1188,1.0105,0.24,1990,16866563
83,JOR,Jordan,Amman,Asia,89342,126.3221,1.0123,0.14,1990,3480587
195,JEY,Jersey,Saint Helier,Europe,116,954.9828,1.0106,0.0,1990,82874
11,JPN,Japan,Tokyo,Asia,377930,327.9753,0.9947,1.55,1990,123686321
139,JAM,Jamaica,Kingston,North America,10991,257.2447,0.9999,0.04,1990,2392030
52,CIV,Ivory Coast,Yamoussoukro,Africa,322463,87.3295,1.0248,0.35,1990,11910540
25,ITA,Italy,Rome,Europe,301336,195.9191,0.9966,0.74,1990,56756561
98,ISR,Israel,Jerusalem,Asia,20770,435.1617,1.0155,0.11,1990,4803254
202,IMN,Isle of Man,Douglas,Europe,572,147.7605,1.003,0.0,1990,68865
125,IRL,Ireland,Dublin,Europe,70273,71.4799,1.0073,0.06,1990,3485374
35,IRQ,Iraq,Baghdad,Asia,438317,101.5158,1.0221,0.56,1990,17658381
17,IRN,Iran,Tehran,Asia,1648195,53.7258,1.0071,1.11,1990,55793629
4,IDN,Indonesia,Jakarta,Asia,1904569,144.6529,1.0064,3.45,1990,182159874
2,IND,India,New Delhi,Asia,3287590,431.0675,1.0068,17.77,1990,870452165
179,ISL,Iceland,Reykjavík,Europe,103000,3.6204,1.0069,0.0,1990,255019
94,HUN,Hungary,Budapest,Europe,93028,107.1431,1.0265,0.12,1990,10375989
104,HKG,Hong Kong,Hong Kong,Asia,1104,6783.3922,0.9992,0.09,1990,5838574
89,HND,Honduras,Tegucigalpa,North America,112492,92.7431,1.015,0.13,1990,5053234
164,GUY,Guyana,Georgetown,South America,214969,3.7621,1.0052,0.01,1990,747116
14,EGY,Egypt,Cairo,Africa,1002450,110.7188,1.0158,1.39,1990,57214630
175,BRN,Brunei,Bandar Seri Begawan,Asia,5765,77.8841,1.0081,0.01,1990,261928
15,COD,DR Congo,Kinshasa,Africa,2344858,42.2244,1.0325,1.24,1990,35987541
165,BTN,Bhutan,Thimphu,Asia,38394,20.3796,1.0064,0.01,1990,558442
206,BMU,Bermuda,Hamilton,North America,54,1188.5926,1.0,0.0,1990,57470
77,BEN,Benin,Porto-Novo,Africa,112622,118.5635,1.0274,0.17,1990,5133419
177,BLZ,Belize,Belmopan,North America,22966,17.6466,1.0131,0.01,1990,182589
81,BEL,Belgium,Brussels,Europe,30528,381.8111,1.0038,0.15,1990,9959560
96,BLR,Belarus,Minsk,Europe,207600,45.9295,0.9955,0.12,1990,10428525
186,BRB,Barbados,Bridgetown,North America,430,654.9651,1.0015,0.0,1990,258868
8,BGD,Bangladesh,Dhaka,Asia,147570,1160.035,1.0108,2.15,1990,107147651
154,BHR,Bahrain,Manama,Asia,765,1924.4876,1.0061,0.02,1990,517418
176,BHS,Bahamas,Nassau,North America,13943,29.4043,1.0051,0.01,1990,270679
91,AZE,Azerbaijan,Baku,Asia,86600,119.6082,1.0044,0.13,1990,7427836
99,AUT,Austria,Vienna,Europe,83871,106.5877,1.002,0.11,1990,7678729
80,BOL,Bolivia,Sucre,South America,1098581,11.1272,1.012,0.15,1990,7096194
55,AUS,Australia,Canberra,Oceania,7692024,3.4032,1.0099,0.33,1990,17048003
140,ARM,Armenia,Yerevan,Asia,29743,93.4831,0.9962,0.03,1990,3556539
33,ARG,Argentina,Buenos Aires,South America,2780400,16.3683,1.0052,0.57,1990,32637657
201,ATG,Antigua and Barbuda,Saint John’s,North America,442,212.1335,1.0058,0.0,1990,63328
224,AIA,Anguilla,The Valley,North America,91,174.2527,1.0066,0.0,1990,8316
42,AGO,Angola,Luanda,Africa,1246700,28.5466,1.0315,0.45,1990,11828638
203,AND,Andorra,Andorra la Vella,Europe,468,170.5641,1.01,0.0,1990,53569
213,ASM,American Samoa,Pago Pago,Oceania,199,222.4774,0.9831,0.0,1990,47818
34,DZA,Algeria,Algiers,Africa,2381741,18.8531,1.0164,0.56,1990,25518074
138,ALB,Albania,Tirana,Europe,28748,98.8702,0.9957,0.04,1990,3295066
36,AFG,Afghanistan,Kabul,Asia,652230,63.0587,1.0257,0.52,1990,10694796
107,LBY,Libya,Tripoli,Africa,1759540,3.8717,1.0114,0.09,1990,4236983
,WLD,World,,,,,,,1990,5314191665
198,ABW,Aruba,Oranjestad,North America,180,591.3611,0.9991,0.0,1990,65712
67,ECU,Ecuador,Quito,South America,276841,65.0229,1.0114,0.23,1990,10449837
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,51209,63.1437,0.9886,0.04,1990,4494310
7,BRA,Brazil,Brasilia,South America,8515767,25.2841,1.0046,2.7,1990,150706446
84,DOM,Dominican Republic,Santo Domingo,North America,48671,230.7087,1.01,0.14,1990,7129004
204,DMA,Dominica,Roseau,North America,751,96.8535,1.0045,0.0,1990,69481
160,DJI,Djibouti,Djibouti,Africa,23200,48.3125,1.0138,0.01,1990,577173
115,DNK,Denmark,Copenhagen,Europe,43094,136.4984,1.0048,0.07,1990,5144623
88,CZE,Czech Republic,Prague,Europe,78865,133.0627,0.9984,0.13,1990,10301192
158,CYP,Cyprus,Nicosia,Europe,9251,135.2814,1.0059,0.02,1990,788500
189,CUW,Curacao,Willemstad,North America,444,430.5473,1.0043,0.0,1990,155446
85,CUB,Cuba,Havana,North America,109884,102.0366,0.9961,0.14,1990,10626680
130,HRV,Croatia,Zagreb,Europe,56594,71.2153,0.9927,0.05,1990,4873707
124,CRI,Costa Rica,San José,North America,51100,101.3861,1.0052,0.06,1990,3158253
223,COK,Cook Islands,Avarua,Oceania,236,72.0805,1.0005,0.0,1990,17123
163,COM,Comoros,Moroni,Africa,1862,449.3953,1.0184,0.01,1990,431119
144,BWA,Botswana,Gaborone,Africa,582000,4.5194,1.0162,0.03,1990,1341474
28,COL,Colombia,Bogota,South America,1141748,45.4339,1.0069,0.65,1990,32601393
65,CHL,Chile,Santiago,South America,756102,25.9274,1.0057,0.25,1990,13342868
69,TCD,Chad,N'Djamena,Africa,1284000,13.8032,1.0316,0.22,1990,5827069
117,CAF,Central African Republic,Bangui,Africa,622984,8.9555,1.0224,0.07,1990,2809221
205,CYM,Cayman Islands,George Town,North America,264,260.25,1.0084,0.0,1990,26027
171,CPV,Cape Verde,Praia,Africa,4033,147.0739,1.0089,0.01,1990,364563
39,CAN,Canada,Ottawa,North America,9984670,3.8513,1.0078,0.48,1990,27657204
53,CMR,Cameroon,Yaounde,Africa,475442,58.7128,1.0263,0.35,1990,11430520
73,KHM,Cambodia,Phnom Penh,Asia,181035,92.6221,1.0108,0.21,1990,8910808
78,BDI,Burundi,Bujumbura,Africa,27834,463.0874,1.027,0.16,1990,5483793
58,BFA,Burkina Faso,Ouagadougou,Africa,272967,83.0641,1.0259,0.28,1990,9131361
108,BGR,Bulgaria,Sofia,Europe,110879,61.1654,0.9849,0.09,1990,8767778
221,VGB,British Virgin Islands,Road Town,North America,151,207.3179,1.0059,0.0,1990,15617
1,CHN,China,Beijing,Asia,9706961,146.8933,1.0,17.88,1990,1153704252
216,LIE,Liechtenstein,Vaduz,Europe,160,245.7937,1.0074,0.0,1990,28765
152,GNQ,Equatorial Guinea,Malabo,Africa,28051,59.7094,1.0247,0.02,1990,465549
168,LUX,Luxembourg,Luxembourg,Europe,2586,250.425,1.0129,0.01,1990,381267
57,TWN,Taiwan,Taipei,Asia,36193,660.1662,1.0014,0.3,1990,20586174
60,SYR,Syria,Damascus,Asia,185180,119.4797,1.0376,0.28,1990,12408996
101,CHE,Switzerland,Bern,Europe,41284,211.7157,1.0056,0.11,1990,6711693
87,SWE,Sweden,Stockholm,Europe,450295,23.4276,1.0079,0.13,1990,8548406
170,SUR,Suriname,Paramaribo,South America,163820,3.7727,1.0082,0.01,1990,412756
32,SDN,Sudan,Khartoum,Africa,1886068,24.8529,1.0267,0.59,1990,21090886
61,LKA,Sri Lanka,Colombo,Asia,65610,332.7563,1.0027,0.27,1990,17204094
30,ESP,Spain,Madrid,Europe,505992,93.9909,1.0015,0.6,1990,38889889
86,SSD,South Sudan,Juba,Africa,619745,17.6091,1.0153,0.14,1990,4750817
29,KOR,South Korea,Seoul,Asia,100210,517.0722,0.9997,0.65,1990,44120039
24,ZAF,South Africa,Pretoria,Africa,1221037,49.0517,1.0084,0.75,1990,39877570
70,SOM,Somalia,Mogadishu,Africa,637657,27.5971,1.0312,0.22,1990,6999096
166,SLB,Solomon Islands,Honiara,Oceania,28896,25.0648,1.0232,0.01,1990,324171
148,SVN,Slovenia,Ljubljana,Europe,20273,104.5649,1.0002,0.03,1990,1986024
116,SVK,Slovakia,Bratislava,Europe,49037,115.0856,1.0359,0.07,1990,5261305
214,SXM,Sint Maarten,Philipsburg,North America,34,1299.2647,1.003,0.0,1990,27845
113,SGP,Singapore,Singapore,Asia,710,8416.4634,1.0058,0.07,1990,3022209
102,SLE,Sierra Leone,Freetown,Africa,71740,119.957,1.022,0.11,1990,4325388
196,SYC,Seychelles,Victoria,Africa,452,236.9867,1.0061,0.0,1990,71057
105,SRB,Serbia,Belgrade,Europe,88361,81.7257,0.9897,0.09,1990,7987529
72,SEN,Senegal,Dakar,Africa,196722,88.025,1.0261,0.22,1990,7536001
41,SAU,Saudi Arabia,Riyadh,Asia,2149690,16.9368,1.0128,0.46,1990,16004763
187,STP,Sao Tome and Principe,São Tomé,Africa,964,235.8714,1.0192,0.0,1990,120343
218,SMR,San Marino,San Marino,Europe,61,551.8033,0.9975,0.0,1990,23132
188,WSM,Samoa,Apia,Oceania,2842,78.2484,1.0165,0.0,1990,168186
95,TJK,Tajikistan,Dushanbe,Asia,143100,69.5513,1.0208,0.12,1990,5417860
22,TZA,Tanzania,Dodoma,Africa,945087,69.3034,1.03,0.82,1990,26206012
20,THA,Thailand,Bangkok,Asia,513120,139.7276,1.0013,0.9,1990,55228410
155,TLS,Timor-Leste,Dili,Asia,14874,90.1772,1.0154,0.02,1990,758106
141,LTU,Lithuania,Vilnius,Europe,65300,42.1142,0.9869,0.03,1990,3785847
63,ZMB,Zambia,Lusaka,Africa,752612,26.5976,1.028,0.25,1990,7686401
46,YEM,Yemen,Sanaa,Asia,527968,63.8232,1.0217,0.42,1990,13375121
172,ESH,Western Sahara,El Aaiún,Africa,266000,2.1654,1.0184,0.01,1990,178529
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,142,81.493,0.9953,0.0,1990,13454
16,VNM,Vietnam,Hanoi,Asia,331212,296.4472,1.0074,1.23,1990,66912613
51,VEN,Venezuela,Caracas,South America,916445,30.882,1.0036,0.35,1990,19750579
234,VAT,Vatican City,Vatican City,Europe,1,510.0,0.998,0.0,1990,700
181,VUT,Vanuatu,Port-Vila,Oceania,12189,26.8061,1.0238,0.0,1990,150882
43,UZB,Uzbekistan,Tashkent,Asia,447400,77.3975,1.016,0.43,1990,20579100
133,URY,Uruguay,Montevideo,South America,181034,18.9069,0.999,0.04,1990,3117012
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,347,286.6427,0.9937,0.0,1990,100685
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,389,267.2185,0.9963,0.0,1990,112487
3,USA,United States,"Washington, D.C.",North America,9372610,36.0935,1.0038,4.24,1990,248083732
97,ARE,United Arab Emirates,Abu Dhabi,Asia,83600,112.9322,1.0081,0.12,1990,1900151
38,UKR,Ukraine,Kiev,Europe,603500,65.7858,0.912,0.5,1990,51589817
31,UGA,Uganda,Kampala,Africa,241550,195.61,1.0304,0.59,1990,17586630
227,TUV,Tuvalu,Funafuti,Oceania,26,435.0769,1.0096,0.0,1990,9182
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,948,48.2099,1.0131,0.0,1990,11709
111,TKM,Turkmenistan,Ashgabat,Asia,488100,13.1751,1.014,0.08,1990,3720278
18,TUR,Turkey,Ankara,Asia,783562,108.9145,1.0067,1.07,1990,54324142
79,TUN,Tunisia,Tunis,Africa,163610,75.5218,1.0076,0.15,1990,8440023
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,5130,298.4491,1.0035,0.02,1990,1266518
197,TON,Tonga,Nuku‘alofa,Oceania,747,143.0495,1.0079,0.0,1990,98727
233,TKL,Tokelau,Nukunonu,Oceania,12,155.9167,1.0119,0.0,1990,1669
100,TGO,Togo,Lomé,Africa,56785,155.8281,1.0236,0.11,1990,3875947
21,GBR,United Kingdom,London,Europe,242900,277.9289,1.0034,0.85,1990,57210442
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,242,24.2231,0.9964,0.0,1990,6324
74,ZWE,Zimbabwe,Harare,Africa,390757,41.7665,1.0204,0.2,1990,10113893
190,LCA,Saint Lucia,Castries,North America,616,291.9756,1.0011,0.0,1990,142301
71,NLD,Netherlands,Amsterdam,Europe,41850,419.6897,1.0036,0.22,1990,14944548
49,NPL,Nepal,Kathmandu,Asia,147181,207.5511,1.0171,0.38,1990,19616530
225,NRU,Nauru,Yaren,Oceania,21,603.2381,1.0125,0.0,1990,9598
145,NAM,Namibia,Windhoek,Africa,825615,3.1092,1.0146,0.03,1990,1369011
26,MMR,Myanmar,Nay Pyi Taw,Asia,676578,80.0784,1.0071,0.68,1990,40099553
48,MOZ,Mozambique,Maputo,Africa,801590,41.1302,1.0278,0.41,1990,13303459
40,MAR,Morocco,Rabat,Africa,446550,83.883,1.0103,0.47,1990,24570814
230,MSR,Montserrat,Brades,North America,102,43.0392,0.9939,0.0,1990,10805
169,MNE,Montenegro,Podgorica,Europe,13812,45.4012,0.9988,0.01,1990,621442
134,MNG,Mongolia,Ulaanbaatar,Asia,1564110,2.1727,1.0151,0.04,1990,2161433
220,MAF,Saint Martin,Marigot,North America,53,599.8302,0.9951,0.0,1990,28127
135,MDA,Moldova,Chisinau,Europe,33846,96.7026,1.0691,0.04,1990,4480199
185,NCL,New Caledonia,Nouméa,Oceania,18575,15.6097,1.0075,0.0,1990,177264
194,FSM,Micronesia,Palikir,Oceania,702,162.6268,1.0091,0.0,1990,98603
182,MYT,Mayotte,Mamoudzou,Africa,374,871.9278,1.0319,0.0,1990,92659
157,MUS,Mauritius,Port Louis,Africa,2040,636.9946,1.0004,0.02,1990,1090290
126,MRT,Mauritania,Nouakchott,Africa,1030700,4.5951,1.0263,0.06,1990,2006027
180,MTQ,Martinique,Fort-de-France,North America,1128,325.8041,0.9965,0.0,1990,374271
215,MHL,Marshall Islands,Majuro,Oceania,181,229.663,0.9886,0.0,1990,46047
173,MLT,Malta,Valletta,Europe,316,1687.6139,1.0124,0.01,1990,365392
59,MLI,Mali,Bamako,Africa,1240192,18.2178,1.0314,0.28,1990,8945026
174,MDV,Maldives,Malé,Asia,300,1745.9567,1.0045,0.01,1990,224957
45,MYS,Malaysia,Kuala Lumpur,Asia,330803,102.5934,1.0109,0.43,1990,17517054
62,MWI,Malawi,Lilongwe,Africa,118484,172.22,1.0259,0.26,1990,9539665
50,MDG,Madagascar,Antananarivo,Africa,587041,50.4423,1.0241,0.37,1990,11882762
167,MAC,Macau,Concelho de Macau,Asia,30,23172.2667,1.0125,0.01,1990,350227
10,MEX,Mexico,Mexico City,North America,1964375,64.9082,1.0063,1.6,1990,81720428
123,NZL,New Zealand,Wellington,Oceania,270467,19.1716,1.0108,0.07,1990,3397389
217,MCO,Monaco,Monaco,Europe,2,18234.5,0.9941,0.0,1990,30329
54,NER,Niger,Niamey,Africa,1267000,20.6851,1.0378,0.33,1990,8370647
106,NIC,Nicaragua,Managua,North America,130373,53.2962,1.0143,0.09,1990,4227820
228,BLM,Saint Barthelemy,Gustavia,North America,21,522.2381,1.0098,0.0,1990,5168
76,RWA,Rwanda,Kigali,Africa,26338,523.0731,1.0234,0.17,1990,7319962
9,RUS,Russia,Moscow,Europe,17098242,8.4636,0.9973,1.81,1990,148005704
64,ROU,Romania,Bucharest,Europe,238391,82.4665,1.0171,0.25,1990,22836234
161,REU,Reunion,Saint-Denis,Africa,2511,387.914,1.0082,0.01,1990,658992
114,COG,Republic of the Congo,Brazzaville,Africa,342000,17.4574,1.0231,0.07,1990,2385435
143,QAT,Qatar,Doha,Asia,11586,232.6189,1.0026,0.03,1990,441675
136,PRI,Puerto Rico,San Juan,North America,8870,366.675,0.9989,0.04,1990,3543776
92,PRT,Portugal,Lisbon,Europe,92090,111.5307,0.9981,0.13,1990,10007346
37,POL,Poland,Warsaw,Europe,312679,127.4698,1.0404,0.5,1990,38064255
13,PHL,Philippines,Manila,Asia,342353,337.5434,1.0147,1.45,1990,61558898
44,PER,Peru,Lima,South America,1285216,26.4933,1.0099,0.43,1990,22109099
211,KNA,Saint Kitts and Nevis,Basseterre,North America,261,182.5939,1.0011,0.0,1990,40636
93,PNG,Papua New Guinea,Port Moresby,Oceania,462840,21.9139,1.0194,0.13,1990,3864972
6,NGA,Nigeria,Abuja,Africa,923768,236.5759,1.0241,2.74,1990,95214257
232,NIU,Niue,Alofi,Oceania,260,7.4385,0.9985,0.0,1990,2533
56,PRK,North Korea,Pyongyang,Asia,120538,216.2755,1.0038,0.33,1990,20799523
109,PRY,Paraguay,Asunción,South America,406752,16.6705,1.0115,0.09,1990,4059195
210,NFK,Northern Mariana Islands,Saipan,Oceania,464,106.7909,1.0014,0.0,1990,48002
150,MKD,North Macedonia,Skopje,Europe,25713,81.4218,0.9954,0.03,1990,2044174
127,OMN,Oman,Muscat,Asia,309500,14.7861,1.0123,0.06,1990,1804524
5,PAK,Pakistan,Islamabad,Asia,881912,267.4018,1.0191,2.96,1990,115414069
222,PLW,Palau,Ngerulmud,Oceania,459,39.3355,1.0017,0.0,1990,15293
122,PSE,Palestine,Ramallah,Asia,6220,844.063,1.0227,0.07,1990,2124609
128,PAN,Panama,Panama City,North America,75417,58.4561,1.0132,0.06,1990,2449968
120,NOR,Norway,Oslo,Europe,323802,16.7828,1.0058,0.07,1990,4241636
90,GRC,Greece,Athens,Europe,131990,78.68,0.9942,0.13,2000,11038109
208,GRL,Greenland,Nuuk,North America,2166086,0.0261,1.004,0.0,2000,56184
193,GRD,Grenada,Saint George's,North America,344,364.6453,1.0066,0.0,2000,107432
178,GLP,Guadeloupe,Basse-Terre,North America,1628,243.0909,0.9992,0.0,2000,424067
164,GUY,Guyana,Georgetown,South America,214969,3.7621,1.0052,0.01,2000,759051
68,GTM,Guatemala,Guatemala City,North America,108889,163.8725,1.0134,0.22,2000,11735894
207,GGY,Guernsey,Saint Peter Port,Europe,78,811.5513,1.0037,0.0,2000,59114
75,GIN,Guinea,Conakry,Africa,245857,56.3716,1.0242,0.17,2000,8336967
149,GNB,Guinea-Bissau,Bissau,Africa,36125,58.2856,1.0218,0.03,2000,1230849
219,GIB,Gibraltar,Gibraltar,Europe,6,5441.5,0.9994,0.0,2000,27741
191,GUM,Guam,Hagåtña,Oceania,549,312.8852,1.0073,0.0,2000,160188
47,GHA,Ghana,Accra,Africa,238533,140.3406,1.0196,0.42,2000,19665502
184,GUF,French Guiana,Cayenne,South America,83534,3.6459,1.0239,0.0,2000,164351
131,GEO,Georgia,Tbilisi,Asia,69700,53.7214,0.9964,0.05,2000,4265172
142,GMB,Gambia,Banjul,Africa,10689,253.1567,1.025,0.03,2000,1437539
146,GAB,Gabon,Libreville,Africa,267668,8.9252,1.0204,0.03,2000,1272935
183,PYF,French Polynesia,Papeete,Oceania,4167,73.5011,1.0074,0.0,2000,250927
23,FRA,France,Paris,Europe,551695,117.1419,1.0015,0.81,2000,58665453
118,FIN,Finland,Helsinki,Europe,338424,16.3722,1.0009,0.07,2000,5176209
162,FJI,Fiji,Suva,Oceania,18272,50.8847,1.0056,0.01,2000,832509
209,FRO,Faroe Islands,Tórshavn,Europe,1393,38.112,1.0038,0.0,2000,45660
231,FLK,Falkland Islands,Stanley,South America,12173,0.3105,1.0043,0.0,2000,3080
12,ETH,Ethiopia,Addis Ababa,Africa,1104300,111.7268,1.0257,1.55,2000,67031867
159,SWZ,Eswatini,Mbabane,Africa,17364,69.2047,1.0079,0.02,2000,1030496
19,DEU,Germany,Berlin,Europe,357114,233.4544,0.9995,1.05,2000,81551677
82,HTI,Haiti,Port-au-Prince,North America,27750,417.4773,1.012,0.15,2000,8360225
34,DZA,Algeria,Algiers,Africa,2381741,18.8531,1.0164,0.56,2000,30774621
104,HKG,Hong Kong,Hong Kong,Asia,1104,6783.3922,0.9992,0.09,2000,6731195
107,LBY,Libya,Tripoli,Africa,1759540,3.8717,1.0114,0.09,2000,5154790
121,LBR,Liberia,Monrovia,Africa,111369,47.6136,1.021,0.07,2000,2895224
147,LSO,Lesotho,Maseru,Africa,30355,75.962,1.0107,0.03,2000,1998630
119,LBN,Lebanon,Beirut,Asia,10452,525.2334,0.9816,0.07,2000,4320642
151,LVA,Latvia,Riga,Europe,64559,28.666,0.9876,0.02,2000,2392530
103,LAO,Laos,Vientiane,Asia,236800,31.7968,1.0141,0.09,2000,5430853
110,KGZ,Kyrgyzstan,Bishkek,Asia,199951,33.1612,1.0158,0.08,2000,4935182
129,KWT,Kuwait,Kuwait City,Asia,17818,239.5821,1.0044,0.05,2000,1934901
192,KIR,Kiribati,Tarawa,Oceania,811,161.815,1.0183,0.0,2000,88826
27,KEN,Kenya,Nairobi,Africa,580367,93.0919,1.0193,0.68,2000,30851606
66,KAZ,Kazakhstan,Nursultan,Asia,2724900,7.1188,1.0105,0.24,2000,15236253
83,JOR,Jordan,Amman,Asia,89342,126.3221,1.0123,0.14,2000,5056174
89,HND,Honduras,Tegucigalpa,North America,112492,92.7431,1.015,0.13,2000,6656725
195,JEY,Jersey,Saint Helier,Europe,116,954.9828,1.0106,0.0,2000,86192
139,JAM,Jamaica,Kingston,North America,10991,257.2447,0.9999,0.04,2000,2612205
52,CIV,Ivory Coast,Yamoussoukro,Africa,322463,87.3295,1.0248,0.35,2000,16799670
25,ITA,Italy,Rome,Europe,301336,195.9191,0.9966,0.74,2000,56966397
98,ISR,Israel,Jerusalem,Asia,20770,435.1617,1.0155,0.11,2000,6116958
202,IMN,Isle of Man,Douglas,Europe,572,147.7605,1.003,0.0,2000,75562
125,IRL,Ireland,Dublin,Europe,70273,71.4799,1.0073,0.06,2000,3768950
35,IRQ,Iraq,Baghdad,Asia,438317,101.5158,1.0221,0.56,2000,24628858
17,IRN,Iran,Tehran,Asia,1648195,53.7258,1.0071,1.11,2000,65544383
4,IDN,Indonesia,Jakarta,Asia,1904569,144.6529,1.0064,3.45,2000,214072421
2,IND,India,New Delhi,Asia,3287590,431.0675,1.0068,17.77,2000,1059633675
179,ISL,Iceland,Reykjavík,Europe,103000,3.6204,1.0069,0.0,2000,281462
94,HUN,Hungary,Budapest,Europe,93028,107.1431,1.0265,0.12,2000,10202055
11,JPN,Japan,Tokyo,Asia,377930,327.9753,0.9947,1.55,2000,126803861
156,EST,Estonia,Tallinn,Europe,45227,29.3201,0.998,0.02,2000,1396877
73,KHM,Cambodia,Phnom Penh,Asia,181035,92.6221,1.0108,0.21,2000,12118841
152,GNQ,Equatorial Guinea,Malabo,Africa,28051,59.7094,1.0247,0.02,2000,684977
7,BRA,Brazil,Brasilia,South America,8515767,25.2841,1.0046,2.7,2000,175873720
144,BWA,Botswana,Gaborone,Africa,582000,4.5194,1.0162,0.03,2000,1726985
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,51209,63.1437,0.9886,0.04,2000,4179350
80,BOL,Bolivia,Sucre,South America,1098581,11.1272,1.012,0.15,2000,8592656
165,BTN,Bhutan,Thimphu,Asia,38394,20.3796,1.0064,0.01,2000,587207
206,BMU,Bermuda,Hamilton,North America,54,1188.5926,1.0,0.0,2000,61371
77,BEN,Benin,Porto-Novo,Africa,112622,118.5635,1.0274,0.17,2000,6998023
177,BLZ,Belize,Belmopan,North America,22966,17.6466,1.0131,0.01,2000,240406
81,BEL,Belgium,Brussels,Europe,30528,381.8111,1.0038,0.15,2000,10264343
96,BLR,Belarus,Minsk,Europe,207600,45.9295,0.9955,0.12,2000,10256483
186,BRB,Barbados,Bridgetown,North America,430,654.9651,1.0015,0.0,2000,264657
8,BGD,Bangladesh,Dhaka,Asia,147570,1160.035,1.0108,2.15,2000,129193327
154,BHR,Bahrain,Manama,Asia,765,1924.4876,1.0061,0.02,2000,711442
176,BHS,Bahamas,Nassau,North America,13943,29.4043,1.0051,0.01,2000,325014
91,AZE,Azerbaijan,Baku,Asia,86600,119.6082,1.0044,0.13,2000,8190337
99,AUT,Austria,Vienna,Europe,83871,106.5877,1.002,0.11,2000,8010428
55,AUS,Australia,Canberra,Oceania,7692024,3.4032,1.0099,0.33,2000,19017963
198,ABW,Aruba,Oranjestad,North America,180,591.3611,0.9991,0.0,2000,89101
140,ARM,Armenia,Yerevan,Asia,29743,93.4831,0.9962,0.03,2000,3168523
33,ARG,Argentina,Buenos Aires,South America,2780400,16.3683,1.0052,0.57,2000,37070774
201,ATG,Antigua and Barbuda,Saint John’s,North America,442,212.1335,1.0058,0.0,2000,75055
224,AIA,Anguilla,The Valley,North America,91,174.2527,1.0066,0.0,2000,11047
42,AGO,Angola,Luanda,Africa,1246700,28.5466,1.0315,0.45,2000,16394062
203,AND,Andorra,Andorra la Vella,Europe,468,170.5641,1.01,0.0,2000,66097
216,LIE,Liechtenstein,Vaduz,Europe,160,245.7937,1.0074,0.0,2000,33026
221,VGB,British Virgin Islands,Road Town,North America,151,207.3179,1.0059,0.0,2000,20104
175,BRN,Brunei,Bandar Seri Begawan,Asia,5765,77.8841,1.0081,0.01,2000,333926
108,BGR,Bulgaria,Sofia,Europe,110879,61.1654,0.9849,0.09,2000,8097691
58,BFA,Burkina Faso,Ouagadougou,Africa,272967,83.0641,1.0259,0.28,2000,11882888
112,SLV,El Salvador,San Salvador,North America,21041,301.145,1.0035,0.08,2000,5958482
14,EGY,Egypt,Cairo,Africa,1002450,110.7188,1.0158,1.39,2000,71371371
67,ECU,Ecuador,Quito,South America,276841,65.0229,1.0114,0.23,2000,12626507
15,COD,DR Congo,Kinshasa,Africa,2344858,42.2244,1.0325,1.24,2000,48616317
84,DOM,Dominican Republic,Santo Domingo,North America,48671,230.7087,1.01,0.14,2000,8540791
204,DMA,Dominica,Roseau,North America,751,96.8535,1.0045,0.0,2000,68346
160,DJI,Djibouti,Djibouti,Africa,23200,48.3125,1.0138,0.01,2000,742033
115,DNK,Denmark,Copenhagen,Europe,43094,136.4984,1.0048,0.07,2000,5340655
88,CZE,Czech Republic,Prague,Europe,78865,133.0627,0.9984,0.13,2000,10234710
158,CYP,Cyprus,Nicosia,Europe,9251,135.2814,1.0059,0.02,2000,948237
